Service,Category,Monthly_Price,Description
Managed IT Support,IT,650,Helpdesk + remote support + patch management. 8x5 coverage.
Managed Security - Endpoint,Security,480,EDR/MDR endpoint protection. All workstations + servers.
Managed Security - Full SOC,Security,1200,24/7 threat monitoring + incident response. Includes endpoint.
Cloud Backup & Disaster Recovery,Cloud,320,Automated daily backup + tested recovery. On-prem + cloud target.
Network Monitoring & Management,Network,380,24/7 monitoring + alerting + config management for switches/firewalls.
VoIP / Business Phone,Telecom,240,Hosted VoIP. Per-seat pricing averaged per account.
Microsoft 365 Management,Cloud,180,License management + admin + user onboarding/offboarding.
Cybersecurity Assessment,Security,0,Annual assessment + report. Included in SOC tier. Standalone: one-time $2500.
Structured Cabling,Physical,0,Project-based. Not recurring. Flag as opportunity if expansion noted.
AV Systems - Conferencing,AV,290,Conference room AV management + support. Per-room average.
Hardware Procurement,Hardware,0,Margin-based. Flag if account sourcing hardware elsewhere.
Dark Web Monitoring,Security,95,Credential monitoring + breach alerts. Add-on to any security tier.
Email Security & Filtering,Security,150,Anti-phishing + spam filtering + quarantine management.
Compliance Readiness - HIPAA,Compliance,850,Documentation + controls + audit prep. Medical practices only.
Compliance Readiness - SOC2,Compliance,950,Documentation + controls + audit prep. Tech/finance companies.
